long;lat;distance;id;fid;straat;roepnaam;aanbod;net
373.427.720.075.222;510.472.005.151.694;0;kml_1;0;Lange Violettestraat 65;Nieuwen Bosch;Basisschool (Kleuter + Lager);Katholiek onderwijs
****************;510.553.372.636.928;0;kml_2;1;Dendermondsesteenweg 53;De Vlieger;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
371.322.272.848.638;510.573.245.534.466;0;kml_3;2;Begijnhofdries 42;De Muze;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
375.945.465.958.394;510.288.771.401.516;0;kml_4;3;Alfons Biebuycklaan 24;Sint-Gregorius;Basisschool (Kleuter + Lager);Katholiek onderwijs
374.727.714.090.682;510.615.253.140.131;0;kml_5;4;Joseph Grardstraat 16;Sint-Janscollege Visitatie;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.593.917.647.619;51.030.143.338.751;0;kml_6;5;Sint-Pietersaalststraat 82;KLIM;Kleuterschool;Katholiek onderwijs
373.662.648.642.312;510.411.750.432.032;0;kml_7;6;Sint-Lievenspoortstraat 129;Sint-Lievenspoort;Buitengewoon onderwijs;Katholiek onderwijs
377.284.872.680.696;510.272.041.929.692;0;kml_8;7;Jules Destrelaan 67;Sint-Gregorius;Buitengewoon onderwijs;Katholiek onderwijs
****************;510.347.838.736.226;0;kml_9;8;Stropkaai 38;Sint-Jozef;Buitengewoon onderwijs;Katholiek onderwijs
376.977.532.990.629;510.937.002.816.891;0;kml_10;9;Meerhoutstraat 55;IVIO Sint-Salvator;Buitengewoon onderwijs;Katholiek onderwijs
370.909.094.436.863;510.619.711.575.819;0;kml_11;10;Ijskelderstraat 29;Het Kompas;Buitengewoon onderwijs;Onderwijs Stad Gent
37.360.644.854.607;510.444.459.133.903;0;kml_12;11;Sint-Lievenspoortstraat 2;De Zonnepoort;Buitengewoon onderwijs;Onderwijs Stad Gent
372.757.362.894.065;510.551.367.421.268;0;kml_13;12;Dendermondsesteenweg 102;Macarius;Buitengewoon onderwijs;Katholiek onderwijs
373.080.719.264.019;510.684.488.642.011;0;kml_14;13;Bevelandstraat 22-24;De Sassepoort;Buitengewoon onderwijs;Onderwijs Stad Gent
370.645.360.764.701;510.519.533.608.063;0;kml_15;14;Korenbloemstraat 17;Korenbloem;Buitengewoon onderwijs;Katholiek onderwijs
370.388.962.627.464;510.655.344.932.449;0;kml_16;15;Jozef Guislainstraat 47;OOBC Nieuwe vaart;Buitengewoon onderwijs;Overleg kleine onderwijsverstrekkers
372.470.615.217.016;510.560.204.008.645;0;kml_17;16;Onderstraat 10;Francois Laurentinstituut;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
375.620.812.994.151;510.549.273.415.092;0;kml_18;17;Sint-Baafskouterstraat 129;De Wijze Boom;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
376.727.538.176.363;510.347.230.906.612;0;kml_19;18;Hazenakker 1;BSGO Hazenakker;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
372.511.420.685.183;510.366.646.783.807;0;kml_20;19;Karel Lodewijk Ledeganckstraat 4;Daltonschool De kleine Icarus;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
369.485.991.968.595;510.724.749.092.925;0;kml_21;20;Eeklostraat 7;Sint-Lieven Kollegem;Lagere school;Katholiek onderwijs
369.328.259.417.278;510.749.790.665.293;0;kml_22;21;Eeklostraat 144;Sint-lieven Kolegem;Kleuterschool;Katholiek onderwijs
37.612.633.738.422;510.453.680.084.333;0;kml_23;22;Gentbruggekouter 8;Sancta Maria;Lagere school;Katholiek onderwijs
377.091.345.816.425;510.435.884.065.188;0;kml_24;23;Jules Van Biesbroeckstraat 119;Sancta Maria;Basisschool (Kleuter + Lager);Katholiek onderwijs
373.616.237.226.427;510.555.657.303.387;0;kml_25;24;Lucas Munichstraat 29;Het Trappenhuis;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.567.761.900.073;510.437.455.678.923;0;kml_26;25;Neermeerskaai 2;Bollekensschool;LO;Onderwijs Stad Gent
37.328.076.927.724;510.421.387.470.801;0;kml_27;26;Tentoonstellingslaan 4;Benedictuspoort;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.966.852.883.475;51.022.626.175.419;0;kml_28;27;Rerum Novarumplein 188;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.334.688.350.082;51.017.431.509.911;0;kml_29;28;Ebergiste De Deynestraat 2;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
363.002.397.878.264;51.075.598.231.419;0;kml_30;29;Gavergrachtstraat 97;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
****************;510.274.837.483.222;0;kml_31;30;De Pintelaan 185 1K5;UZ-school;Buitengewoon onderwijs;Onderwijs Stad Gent
366.996.808.779.109;510.201.978.140.883;0;kml_32;31;Oudeheerweg 3;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.010.547.602.424;510.056.155.397.974;0;kml_33;32;Hutsepotstraat 77;De Boekenmolen;Kleuterschool;Onderwijs Stad Gent
36.694.241.921.658;510.230.783.029.573;0;kml_34;33;Kerkdreef 9;Westerhem;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.723.038.099.355;510.282.545.691.028;0;kml_35;34;Voskenslaan 362;MPI Gent De Oase;Buitengewoon onderwijs;GO!Onderwijs van de Vlaamse gemeenschap
376.745.866.986.516;510.944.660.849.999;0;kml_36;35;Wolfputstraat 108;EDUGO Meerhout;Kleuterschool;Katholiek onderwijs
376.376.672.684.309;5.107.996.284.093;0;kml_37;36;Groenstraat 31;EDUGO Lourdes;Kleuterschool;Katholiek onderwijs
375.734.748.706.341;510.633.993.832.949;0;kml_38;37;Heiveldstraat 127a;Sint-Janscollege Heiveld;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.491.074.473.683;510.594.995.334.238;0;kml_39;38;Schoolstraat 27;De Toverberg;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.535.269.346.487;510.432.054.475.497;0;kml_40;39;Gordunakaai 58;Ter Leie;Kleuterschool;Onderwijs Stad Gent
370.781.294.633.852;510.453.267.600.605;0;kml_41;40;Jubileumlaan 215D;Bollekenskindertuin;Kleuterschool;Onderwijs Stad Gent
369.994.803.978.195;510.608.628.202.664;0;kml_42;41;Acaciastraat 11;Jenaplanschool De Feniks;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
373.944.452.926.816;510.493.348.159.229;0;kml_43;42;Kasteellaan 54;Rudolf Steinerschool;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
360.360.673.260.008;51.035.195.725.573;0;kml_44;43;Baarleboslaan 86;De Mijlpaal;Kleuterschool;GO!Onderwijs van de Vlaamse gemeenschap
36.538.486.902.135;510.535.062.745.863;0;kml_45;44;Groenewandeling 80;Mijlpaal;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
36.944.400.985.936;510.531.932.904.329;0;kml_46;45;Heldenplein 45;Het Eiland;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
371.231.159.977.308;510.396.863.594.554;0;kml_47;46;Dsir Van Monckhovenstraat 34;Dsir Van Monckhoven;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
37.123.116.215.462;510.396.875.533.597;0;kml_48;47;Meersstraat 131;Sint-Pietersinstituut;Basisschool (Kleuter + Lager);Katholiek onderwijs
376.828.963.483.486;510.419.086.601.393;0;kml_49;48;Voordries 31;'t Groen Drieske;Kleuterschool;Onderwijs Stad Gent
375.749.244.632.067;510.286.630.919.295;0;kml_50;49;Jules De Saint-Genoisstraat 93;De Sportschool;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
367.786.756.104.813;510.726.615.869.882;0;kml_51;50;Elfnovemberstraat 27;Onze Lieve Vrouw Visitatie;Basisschool (Kleuter + Lager);Katholiek onderwijs
367.566.851.611.442;510.770.560.771.051;0;kml_52;51;Trekweg 1;De Brug;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
375.464.337.139.045;510.447.410.286.031;0;kml_53;52;Kerkstraat 85;De Speurneus;Kleuterschool;Onderwijs Stad Gent
375.747.395.341.596;510.436.109.543.795;0;kml_54;53;Tweekapellenstraat 38;Henri D'Haese;Lagere school;Onderwijs Stad Gent
372.597.756.911.759;510.487.578.340.759;0;kml_55;54;Savaanstraat 118;Sint-Barbaracollege;Lagere school;Katholiek onderwijs
372.074.365.413.332;51.042.942.942.081;0;kml_56;55;Verdedigingstraat 2;Sint-Barbaracollege;Kleuterschool;Katholiek onderwijs
373.147.754.360.752;510.531.463.021.968;0;kml_57;56;Keizer Karelstraat 12;Sint-Lievenscollege;Basisschool (Kleuter + Lager);Katholiek onderwijs
376.169.952.894.584;510.816.396.761.683;0;kml_58;57;Onze-Lieve-Vrouwdreef 2;EDUGO Slotendries;Lagere school;Katholiek onderwijs
371.277.915.976.098;510.040.537.504.691;0;kml_59;58;Hutsepotstraat 27;Sint-Vincentius;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.723.019.689.771;510.207.867.756.815;0;kml_60;59;August Vermeylenstraat 2;De Panda;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
376.222.574.199.871;510.972.115.892.578;0;kml_61;60;Gentstraat 212;De Letterdoos;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
372.139.020.892.562;510.249.174.687.106;0;kml_62;61;Steenakker 4;Het Prisma;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
****************;510.622.813.985.293;0;kml_63;62;Kartuizerlaan 20;De Buurt;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
367.173.540.021.841;51.073.985.418.266;0;kml_64;63;Armand Casier De Ter Bekenlaan 26;De wijze Eik - Casierlaan;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
36.866.466.364.619;510.823.163.881.138;0;kml_65;64;Eeklostraat 121;De Wijze Eik - Eeklostraat;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
365.722.822.521.109;510.513.075.411.328;0;kml_66;65;Klaverdries 1;Klaverdries;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
****************;510.679.783.045.476;0;kml_67;66;Francisco Ferrerlaan 42;De Tovertuin;Kleuterschool;Onderwijs Stad Gent
371.553.660.251.024;510.886.124.727.015;0;kml_68;67;Sint-Sebastiaanstraat 8;De Regenboog;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
372.551.478.076.657;510.476.170.047.511;0;kml_69;68;Bagattenstraat 155;De Harp;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.970.047.806.665;510.286.752.852.355;0;kml_70;69;Maaltebruggestraat 185;De Sterre-spits;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
372.179.276.898.748;510.472.520.774.288;0;kml_71;70;Nederkouter 112;Instituut van Gent;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
365.893.454.381.411;510.489.518.475.226;0;kml_72;71;Oude-Abdijstraat 11;De vuurtoren;Basisschool (Kleuter + Lager);Katholiek onderwijs
362.034.909.995.933;510.374.948.082.066;0;kml_73;72;Baarledorpstraat 4;Don Bosco Baarle;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.104.125.818.424;510.762.242.844.916;0;kml_74;73;Grensstraat 202;Daltonschool De Lotus;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
369.064.033.211.135;510.640.879.146.177;0;kml_75;74;Peerstraat 176;Het Kriebelhuis;Kleuterschool;Onderwijs Stad Gent
****************;510.293.739.876.834;0;kml_76;75;Moutstraat 50;De Klavertjes;Kleuterschool;Onderwijs Stad Gent
370.943.737.117.844;510.714.229.296.035;0;kml_77;76;Frans Van Ryhovelaan 191;De Dialoog;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
372.953.310.848.095;510.530.563.210.938;0;kml_78;77;Bisdomkaai 1;De Oogappel;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
369.257.071.727.958;510.640.083.252.815;0;kml_79;78;Boomstraat 77;De Boomhut;Basisschool (Kleuter + Lager);Katholiek onderwijs
369.471.177.025.147;510.621.445.271.391;0;kml_80;79;Balsamierenstraat 18;De Piramide;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.933.893.930.837;510.727.561.948.812;0;kml_81;80;Edmond Van Beverenplein 15A;'t Klimrek;Basisschool (Kleuter + Lager);Katholiek onderwijs
370.181.549.364.333;510.595.798.939.673;0;kml_82;81;Reinaertstraat 26;'t Klimrek;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.133.748.228.201;510.533.154.789.252;0;kml_83;82;Theresianenstraat 34;Montessorischool Klimop;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.336.194.802.525;51.052.452.946.484;0;kml_84;83;Apostelhuizen 2;Sint-Bavo;Basisschool (Kleuter + Lager);Katholiek onderwijs
****************;510.395.604.385.312;0;kml_85;84;Smidsestraat 76;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
372.822.481.466.499;510.826.692.106.764;0;kml_86;85;Meulesteedsesteenweg 390;Victor Carpentier;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
****************;510.399.965.235.464;0;kml_87;86;Rijsenbergstraat 40;Gaspard de Coligny;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
372.020.901.507.108;510.609.123.105.593;0;kml_88;87;Sint-Margrietstraat 33;De Mozaek;Basisschool (Kleuter + Lager);Katholiek onderwijs
372.171.185.270.715;510.661.864.735.721;0;kml_89;88;Blaisantvest 37;De Mozaek;Kleuterschool;Katholiek onderwijs
374.278.704.410.219;510.479.123.509.462;0;kml_90;89;Zalmstraat 2;Het Klaverblad;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.291.512.886.971;510.646.521.078.447;0;kml_91;90;Sint-Salvatorstraat 14A;Sint-Salvator;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.499.395.116.561;510.531.619.247.371;0;kml_92;91;Krekelberg 1;Sint-Janscollege De Krekel;BA;Katholiek onderwijs
373.990.813.366.653;510.389.095.465.025;0;kml_93;92;Onderwijsstraat 10;Jenaplanschool De Kleurdoos;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
374.423.666.057.511;510.369.218.899.418;0;kml_94;93;Langestraat 66;Onze Lieve Vrouwcollege;Basisschool (Kleuter + Lager);Katholiek onderwijs
372.672.778.965.528;51.032.536.678.593;0;kml_95;94;Bommelstraat 24;De Boomgaard;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
****************;510.337.230.132.318;0;kml_96;95;Ottergemsesteenweg 155;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
372.263.752.893.845;510.309.847.673.516;0;kml_97;96;Zwijnaardsesteenweg 250;De Spiegel;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
373.252.499.124.065;510.744.368.907.949;0;kml_98;97;Patrijsstraat 12;De Loods;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
371.113.769.446.342;510.620.050.731.747;0;kml_99;98;Jozef II-straat 28;Mandala;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
****************;510.717.317.547.701;0;kml_100;99;Lubeckstraat 58;De Toverstaf;Kleuterschool;Onderwijs Stad Gent
376.671.853.770.617;511.022.072.997.237;0;kml_101;100;Sint-Rafalstraat 14;EDUGO Sint-Vincentius;Basisschool (Kleuter + Lager);Katholiek onderwijs
375.231.981.020.068;510.760.951.108.091;0;kml_102;101;Sint-Bernadettestraat 249;EDUGO Sint-Bernadette;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.863.420.892.497;511.218.465.938.698;0;kml_103;102;Rechtstraat 17;EDUGO Desteldonk;Kleuterschool;Katholiek onderwijs
382.579.768.337.891;511.542.410.468.583;0;kml_104;103;Sint-Kruis Winkeldorp 114;Sint-Laurens;Kleuterschool;Katholiek onderwijs
370.768.354.896.339;510.331.990.065.602;0;kml_105;104;Voskenslaan 60;BS Voskenslaan;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
371.653.892.809.031;510.299.181.107.877;0;kml_106;105;Sint-Pietersaalststraat 78A;KLIM;Lagere school;Katholiek onderwijs
371.678.746.756.713;510.298.072.177.018;0;kml_107;106;Sint-Pietersaalststraat 86;KLIM;Lagere school;Katholiek onderwijs
371.766.519.306.611;510.157.995.366.701;0;kml_108;107;Ebergiste de Deynestraat 1;Sint-Jozef;Buitengewoon onderwijs;Katholiek onderwijs
377.877.712.067.138;510.742.051.119.401;0;kml_109;108;Antwerpsesteenweg 988;Sint-Janscollege Oude Bareel;Basisschool (Kleuter + Lager);Katholiek onderwijs
370.845.699.705.303;510.909.214.071.333;0;kml_110;109;Vinkeslagstraat 2;Mariavreugde;Basisschool (Kleuter + Lager);Katholiek onderwijs
376.546.448.684.616;510.782.092.652.402;0;kml_111;110;Goedlevenstraat 78;Vogelzang;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
361.793.510.720.752;510.380.908.718.052;0;kml_112;111;Kloosterstraat 6D;Rozemarijn;Buitengewoon onderwijs;Katholiek onderwijs
370.502.202.934.567;510.613.719.977.051;0;kml_113;112;Elyzeese Velden 8;De Teunisbloem;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
371.811.409.304.331;510.471.472.805.391;0;kml_114;113;Coupure Rechts 54;De Stadspoort;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
376.281.489.553.917;510.318.876.375.523;0;kml_115;114;Henri Bouckaertstraat 29;Sint-Gregorius;Kleuterschool;Katholiek onderwijs
382.579.768.337.891;511.542.410.468.583;0;kml_116;115;Sint-Kruis Winkeldorp 114;Sint-Laurens;Lagere school;Katholiek onderwijs
369.609.422.925.623;510.564.764.594.969;0;kml_117;116;Drongensesteenweg 146;De Octopus;Buitengewoon onderwijs;Onderwijs Stad Gent
373.273.761.663.958;510.502.452.482.763;0;kml_118;117;Abeelstraat 16;De Zonnewijzer;Buitengewoon onderwijs;Onderwijs Stad Gent
372.747.523.934.843;510.629.977.327.026;0;kml_119;118;Kartuizerlaan 70;De Triangel;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
374.737.085.679.969;510.455.984.642.518;0;kml_120;119;Guldenmeers 2;De Kleine Speurneus;Kleuterschool;Onderwijs Stad Gent
374.890.530.994.882;510.608.591.693.185;0;kml_121;120;Achterstraat 18;De Wonderfluit;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.567.761.900.073;510.437.455.678.923;0;kml_122;121;Neermeerskaai 2;Bollekenskindertuin 2;KO;Onderwijs Stad Gent
371.098.420.088.742;510.575.223.781.305;0;kml_123;122;Hippoliet Lammensstraat 10;Jenaplanschool;KO;Onderwijs Stad Gent
